actscene,act,scene,display_name,actsceneclass,stub,stub-md
0.1,0,1,"Act 0, Scene 1",act0_scene1,?scene=act0_scene1,act0_scene1.html
0.2,0,2,"Act 0, Scene 2",act0_scene2,?scene=act0_scene2,act0_scene2.html
1,1,0,"Act 1, Scene 0",act1_scene0,?scene=act1_scene0,act1_scene0.html
1.1,1,1,"Act 1, Scene 1",act1_scene1,?scene=act1_scene1,act1_scene1.html
1.2,1,2,"Act 1, Scene 2",act1_scene2,?scene=act1_scene2,act1_scene2.html
1.3,1,3,"Act 1, Scene 3",act1_scene3,?scene=act1_scene3,act1_scene3.html
1.4,1,4,"Act 1, Scene 4",act1_scene4,?scene=act1_scene4,act1_scene4.html
1.5,1,5,"Act 1, Scene 5",act1_scene5,?scene=act1_scene5,act1_scene5.html
1.6,1,6,"Act 1, Scene 6",act1_scene6,?scene=act1_scene6,act1_scene6.html
1.7,1,7,"Act 1, Scene 7",act1_scene7,?scene=act1_scene7,act1_scene7.html
1.8,1,8,"Act 1, Scene 8",act1_scene8,?scene=act1_scene8,act1_scene8.html
1.9,1,9,"Act 1, Scene 9",act1_scene9,?scene=act1_scene9,act1_scene9.html
1.1,1,1,"Act 1, Scene 1",act1_scene1,?scene=act1_scene1,act1_scene1.html
2,2,,"Act 2, Scene ",act2_scene,?scene=act2_scene,act2_scene.html
2.1,2,1,"Act 2, Scene 1",act2_scene1,?scene=act2_scene1,act2_scene1.html
2.2,2,2,"Act 2, Scene 2",act2_scene2,?scene=act2_scene2,act2_scene2.html
2.3,2,3,"Act 2, Scene 3",act2_scene3,?scene=act2_scene3,act2_scene3.html
2.4,2,4,"Act 2, Scene 4",act2_scene4,?scene=act2_scene4,act2_scene4.html
2.5,2,5,"Act 2, Scene 5",act2_scene5,?scene=act2_scene5,act2_scene5.html
2.6,2,6,"Act 2, Scene 6",act2_scene6,?scene=act2_scene6,act2_scene6.html
2.7,2,7,"Act 2, Scene 7",act2_scene7,?scene=act2_scene7,act2_scene7.html
2.8,2,8,"Act 2, Scene 8",act2_scene8,?scene=act2_scene8,act2_scene8.html
2.9,2,9,"Act 2, Scene 9",act2_scene9,?scene=act2_scene9,act2_scene9.html
3,3,,"Act 3, Scene ",act3_scene,?scene=act3_scene,act3_scene.html
3.1,3,1,"Act 3, Scene 1",act3_scene1,?scene=act3_scene1,act3_scene1.html
3.2,3,2,"Act 3, Scene 2",act3_scene2,?scene=act3_scene2,act3_scene2.html
3.3,3,3,"Act 3, Scene 3",act3_scene3,?scene=act3_scene3,act3_scene3.html
3.4,3,4,"Act 3, Scene 4",act3_scene4,?scene=act3_scene4,act3_scene4.html
3.5,3,5,"Act 3, Scene 5",act3_scene5,?scene=act3_scene5,act3_scene5.html
3.6,3,6,"Act 3, Scene 6",act3_scene6,?scene=act3_scene6,act3_scene6.html
3.7,3,7,"Act 3, Scene 7",act3_scene7,?scene=act3_scene7,act3_scene7.html
3.8,3,8,"Act 3, Scene 8",act3_scene8,?scene=act3_scene8,act3_scene8.html
3.9,3,9,"Act 3, Scene 9",act3_scene9,?scene=act3_scene9,act3_scene9.html
3.1,3,1,"Act 3, Scene 1",act3_scene1,?scene=act3_scene1,act3_scene1.html
3.11,3,11,"Act 3, Scene 11",act3_scene11,?scene=act3_scene11,act3_scene11.html
3.12,3,12,"Act 3, Scene 12",act3_scene12,?scene=act3_scene12,act3_scene12.html
3.13,3,13,"Act 3, Scene 13",act3_scene13,?scene=act3_scene13,act3_scene13.html
4,4,,"Act 4, Scene ",act4_scene,?scene=act4_scene,act4_scene.html
4.1,4,1,"Act 4, Scene 1",act4_scene1,?scene=act4_scene1,act4_scene1.html
4.2,4,2,"Act 4, Scene 2",act4_scene2,?scene=act4_scene2,act4_scene2.html
4.3,4,3,"Act 4, Scene 3",act4_scene3,?scene=act4_scene3,act4_scene3.html
4.4,4,4,"Act 4, Scene 4",act4_scene4,?scene=act4_scene4,act4_scene4.html
4.5,4,5,"Act 4, Scene 5",act4_scene5,?scene=act4_scene5,act4_scene5.html
4.6,4,6,"Act 4, Scene 6",act4_scene6,?scene=act4_scene6,act4_scene6.html
4.7,4,7,"Act 4, Scene 7",act4_scene7,?scene=act4_scene7,act4_scene7.html
4.8,4,8,"Act 4, Scene 8",act4_scene8,?scene=act4_scene8,act4_scene8.html
4.9,4,9,"Act 4, Scene 9",act4_scene9,?scene=act4_scene9,act4_scene9.html
4.1,4,1,"Act 4, Scene 1",act4_scene1,?scene=act4_scene1,act4_scene1.html
4.11,4,11,"Act 4, Scene 11",act4_scene11,?scene=act4_scene11,act4_scene11.html
4.12,4,12,"Act 4, Scene 12",act4_scene12,?scene=act4_scene12,act4_scene12.html
4.13,4,13,"Act 4, Scene 13",act4_scene13,?scene=act4_scene13,act4_scene13.html
4.14,4,14,"Act 4, Scene 14",act4_scene14,?scene=act4_scene14,act4_scene14.html
4.15,4,15,"Act 4, Scene 15",act4_scene15,?scene=act4_scene15,act4_scene15.html
5,5,,"Act 5, Scene ",act5_scene,?scene=act5_scene,act5_scene.html
5.1,5,1,"Act 5, Scene 1",act5_scene1,?scene=act5_scene1,act5_scene1.html
5.2,5,2,"Act 5, Scene 2",act5_scene2,?scene=act5_scene2,act5_scene2.html
5.3,5,3,"Act 5, Scene 3",act5_scene3,?scene=act5_scene3,act5_scene3.html
5.4,5,4,"Act 5, Scene 4",act5_scene4,?scene=act5_scene4,act5_scene4.html
5.5,5,5,"Act 5, Scene 5",act5_scene5,?scene=act5_scene5,act5_scene5.html
5.6,5,6,"Act 5, Scene 6",act5_scene6,?scene=act5_scene6,act5_scene6.html
5.7,5,7,"Act 5, Scene 7",act5_scene7,?scene=act5_scene7,act5_scene7.html
5.8,5,8,"Act 5, Scene 8",act5_scene8,?scene=act5_scene8,act5_scene8.html
5.9,5,9,"Act 5, Scene 9",act5_scene9,?scene=act5_scene9,act5_scene9.html
5.1,5,1,"Act 5, Scene 1",act5_scene1,?scene=act5_scene1,act5_scene1.html